"train/global_step","grpo-SmollM3-3B-GRPO-no-think-v18.00 - _step","grpo-SmollM3-3B-GRPO-no-think-v18.00 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v18.00 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v18.00 - train/reward","grpo-SmollM3-3B-GRPO-no-think-v18.00 - train/reward__MIN","grpo-SmollM3-3B-GRPO-no-think-v18.00 - train/reward__MAX"
"315","17638","17638","17638","0.85394287109375","0.85394287109375","0.85394287109375"
"316","17694","17694","17694","0.7898178100585938","0.7898178100585938","0.7898178100585938"
"317","17750","17750","17750","0.6387100219726562","0.6387100219726562","0.6387100219726562"
"318","17806","17806","17806","0.8431167602539062","0.8431167602539062","0.8431167602539062"
"319","17862","17862","17862","0.8828125","0.8828125","0.8828125"
"320","17918","17918","17918","0.7973556518554688","0.7973556518554688","0.7973556518554688"
"321","17974","17974","17974","0.8671875","0.8671875","0.8671875"
"322","18030","18030","18030","0.7944183349609375","0.7944183349609375","0.7944183349609375"
"323","18086","18086","18086","0.5633087158203125","0.5633087158203125","0.5633087158203125"
"324","18142","18142","18142","0.7366943359375","0.7366943359375","0.7366943359375"
"325","18198","18198","18198","0.7013626098632812","0.7013626098632812","0.7013626098632812"
"326","18254","18254","18254","0.7553482055664062","0.7553482055664062","0.7553482055664062"
"327","18310","18310","18310","0.8234176635742188","0.8234176635742188","0.8234176635742188"
"328","18366","18366","18366","0.6784896850585938","0.6784896850585938","0.6784896850585938"
"329","18422","18422","18422","0.984375","0.984375","0.984375"
"330","18478","18478","18478","0.6202163696289062","0.6202163696289062","0.6202163696289062"
"331","18534","18534","18534","0.7649078369140625","0.7649078369140625","0.7649078369140625"
"332","18590","18590","18590","0.6406021118164062","0.6406021118164062","0.6406021118164062"
"333","18646","18646","18646","0.7677688598632812","0.7677688598632812","0.7677688598632812"
"334","18702","18702","18702","0.9564971923828125","0.9564971923828125","0.9564971923828125"
"335","18758","18758","18758","0.8671875","0.8671875","0.8671875"
"336","18814","18814","18814","0.8452224731445312","0.8452224731445312","0.8452224731445312"
"337","18870","18870","18870","0.63232421875","0.63232421875","0.63232421875"
"338","18926","18926","18926","0.7938613891601562","0.7938613891601562","0.7938613891601562"
"339","18982","18982","18982","0.6221389770507812","0.6221389770507812","0.6221389770507812"
"340","19038","19038","19038","0.7848892211914062","0.7848892211914062","0.7848892211914062"
"341","19094","19094","19094","0.7829818725585938","0.7829818725585938","0.7829818725585938"
"342","19150","19150","19150","0.8960418701171875","0.8960418701171875","0.8960418701171875"
"343","19206","19206","19206","0.7014694213867188","0.7014694213867188","0.7014694213867188"
"344","19262","19262","19262","0.7046661376953125","0.7046661376953125","0.7046661376953125"
"345","19318","19318","19318","0.7769317626953125","0.7769317626953125","0.7769317626953125"
"346","19374","19374","19374","0.9126968383789062","0.9126968383789062","0.9126968383789062"
"347","19430","19430","19430","0.952362060546875","0.952362060546875","0.952362060546875"
"348","19486","19486","19486","0.6403884887695312","0.6403884887695312","0.6403884887695312"
"349","19542","19542","19542","0.9375","0.9375","0.9375"
"350","19598","19598","19598","0.890625","0.890625","0.890625"
"351","19654","19654","19654","0.77130126953125","0.77130126953125","0.77130126953125"
"352","19710","19710","19710","0.7176589965820312","0.7176589965820312","0.7176589965820312"
"353","19766","19766","19766","0.8381271362304688","0.8381271362304688","0.8381271362304688"
"354","19822","19822","19822","0.7883987426757812","0.7883987426757812","0.7883987426757812"
"355","19878","19878","19878","0.6345138549804688","0.6345138549804688","0.6345138549804688"
"356","19934","19934","19934","0.8130645751953125","0.8130645751953125","0.8130645751953125"
"357","19990","19990","19990","0.7832260131835938","0.7832260131835938","0.7832260131835938"
"358","20046","20046","20046","0.77484130859375","0.77484130859375","0.77484130859375"
"359","20102","20102","20102","0.8645095825195312","0.8645095825195312","0.8645095825195312"
"360","20158","20158","20158","0.8515625","0.8515625","0.8515625"
"361","20214","20214","20214","0.734161376953125","0.734161376953125","0.734161376953125"
"362","20270","20270","20270","0.7421875","0.7421875","0.7421875"
"363","20326","20326","20326","0.763702392578125","0.763702392578125","0.763702392578125"
"364","20382","20382","20382","0.6383132934570312","0.6383132934570312","0.6383132934570312"
"365","20438","20438","20438","0.8539047241210938","0.8539047241210938","0.8539047241210938"
"366","20494","20494","20494","0.9682083129882812","0.9682083129882812","0.9682083129882812"
"367","20550","20550","20550","0.90625","0.90625","0.90625"
"368","20606","20606","20606","0.649017333984375","0.649017333984375","0.649017333984375"
"369","20662","20662","20662","0.761962890625","0.761962890625","0.761962890625"
"370","20718","20718","20718","0.5604934692382812","0.5604934692382812","0.5604934692382812"
"371","20774","20774","20774","0.89105224609375","0.89105224609375","0.89105224609375"
"372","20830","20830","20830","0.859375","0.859375","0.859375"
"373","20886","20886","20886","0.6822586059570312","0.6822586059570312","0.6822586059570312"
"374","20942","20942","20942","0.7160797119140625","0.7160797119140625","0.7160797119140625"
"375","20998","20998","20998","0.7246246337890625","0.7246246337890625","0.7246246337890625"
"376","21054","21054","21054","0.84375","0.84375","0.84375"
"377","21110","21110","21110","0.5684280395507812","0.5684280395507812","0.5684280395507812"
"378","21166","21166","21166","0.9140625","0.9140625","0.9140625"
"379","21222","21222","21222","0.6796875","0.6796875","0.6796875"
"380","21278","21278","21278","0.9375","0.9375","0.9375"
"381","21334","21334","21334","0.8334503173828125","0.8334503173828125","0.8334503173828125"
"382","21390","21390","21390","1","1","1"
"383","21446","21446","21446","0.7564849853515625","0.7564849853515625","0.7564849853515625"
"384","21502","21502","21502","0.8276748657226562","0.8276748657226562","0.8276748657226562"
"385","21558","21558","21558","0.8359375","0.8359375","0.8359375"
"386","21614","21614","21614","0.7265625","0.7265625","0.7265625"
"387","21670","21670","21670","0.765625","0.765625","0.765625"
"388","21726","21726","21726","0.6640625","0.6640625","0.6640625"
"389","21782","21782","21782","0.8203125","0.8203125","0.8203125"
"390","21838","21838","21838","0.8203125","0.8203125","0.8203125"
"391","21894","21894","21894","0.591552734375","0.591552734375","0.591552734375"
"392","21950","21950","21950","0.671875","0.671875","0.671875"
"393","22006","22006","22006","0.71875","0.71875","0.71875"
"394","22062","22062","22062","0.7421875","0.7421875","0.7421875"
"395","22118","22118","22118","0.828125","0.828125","0.828125"
"396","22174","22174","22174","0.9042510986328125","0.9042510986328125","0.9042510986328125"
"397","22230","22230","22230","0.65625","0.65625","0.65625"
"398","22286","22286","22286","0.828125","0.828125","0.828125"
"399","22342","22342","22342","0.734375","0.734375","0.734375"
"400","22398","22398","22398","0.9140625","0.9140625","0.9140625"
"401","22454","22454","22454","0.7028350830078125","0.7028350830078125","0.7028350830078125"
"402","22510","22510","22510","0.7650222778320312","0.7650222778320312","0.7650222778320312"
"403","22566","22566","22566","0.8828125","0.8828125","0.8828125"
"404","22622","22622","22622","0.84375","0.84375","0.84375"
"405","22678","22678","22678","0.8268585205078125","0.8268585205078125","0.8268585205078125"
"406","22734","22734","22734","0.7890625","0.7890625","0.7890625"
"407","22790","22790","22790","0.671417236328125","0.671417236328125","0.671417236328125"
"408","22846","22846","22846","0.8203125","0.8203125","0.8203125"
"409","22902","22902","22902","0.8140945434570312","0.8140945434570312","0.8140945434570312"
"410","22958","22958","22958","0.9453125","0.9453125","0.9453125"
"411","23014","23014","23014","0.96875","0.96875","0.96875"
"412","23070","23070","23070","0.72149658203125","0.72149658203125","0.72149658203125"
"413","23126","23126","23126","0.859375","0.859375","0.859375"
"414","23182","23182","23182","0.96875","0.96875","0.96875"
"415","23238","23238","23238","0.6328125","0.6328125","0.6328125"
"416","23294","23294","23294","0.8016510009765625","0.8016510009765625","0.8016510009765625"
"417","23350","23350","23350","0.7860107421875","0.7860107421875","0.7860107421875"
"418","23406","23406","23406","0.875","0.875","0.875"
"419","23462","23462","23462","0.73333740234375","0.73333740234375","0.73333740234375"
"420","23518","23518","23518","0.78125","0.78125","0.78125"
"421","23574","23574","23574","0.7444381713867188","0.7444381713867188","0.7444381713867188"
"422","23630","23630","23630","0.8514328002929688","0.8514328002929688","0.8514328002929688"
"423","23686","23686","23686","0.6484375","0.6484375","0.6484375"
"424","23742","23742","23742","0.5343704223632812","0.5343704223632812","0.5343704223632812"
"425","23798","23798","23798","0.7104721069335938","0.7104721069335938","0.7104721069335938"
"426","23854","23854","23854","0.8983917236328125","0.8983917236328125","0.8983917236328125"
"427","23910","23910","23910","0.84375","0.84375","0.84375"
"428","23966","23966","23966","0.9765625","0.9765625","0.9765625"
"429","24022","24022","24022","0.8046875","0.8046875","0.8046875"
"430","24078","24078","24078","0.84375","0.84375","0.84375"
"431","24134","24134","24134","0.7257614135742188","0.7257614135742188","0.7257614135742188"
"432","24190","24190","24190","0.5817413330078125","0.5817413330078125","0.5817413330078125"
"433","24246","24246","24246","0.87713623046875","0.87713623046875","0.87713623046875"
"434","24302","24302","24302","0.953125","0.953125","0.953125"
"435","24358","24358","24358","0.757354736328125","0.757354736328125","0.757354736328125"
"436","24414","24414","24414","0.796875","0.796875","0.796875"
"437","24470","24470","24470","0.8203125","0.8203125","0.8203125"
"438","24526","24526","24526","0.7486190795898438","0.7486190795898438","0.7486190795898438"
"439","24582","24582","24582","0.7492523193359375","0.7492523193359375","0.7492523193359375"
"440","24638","24638","24638","0.8203125","0.8203125","0.8203125"
"441","24694","24694","24694","0.78125","0.78125","0.78125"
"442","24750","24750","24750","0.8811187744140625","0.8811187744140625","0.8811187744140625"
"443","24806","24806","24806","0.7391433715820312","0.7391433715820312","0.7391433715820312"
"444","24862","24862","24862","0.8805160522460938","0.8805160522460938","0.8805160522460938"
"445","24918","24918","24918","0.578125","0.578125","0.578125"
"446","24974","24974","24974","0.7293701171875","0.7293701171875","0.7293701171875"
"447","25030","25030","25030","0.796875","0.796875","0.796875"
"448","25086","25086","25086","0.7265625","0.7265625","0.7265625"
"449","25142","25142","25142","0.8110275268554688","0.8110275268554688","0.8110275268554688"
"450","25198","25198","25198","0.96875","0.96875","0.96875"
"451","25254","25254","25254","0.8203125","0.8203125","0.8203125"
"452","25310","25310","25310","0.7758331298828125","0.7758331298828125","0.7758331298828125"
"453","25366","25366","25366","0.890625","0.890625","0.890625"
"454","25422","25422","25422","0.9921875","0.9921875","0.9921875"
"455","25478","25478","25478","0.6664886474609375","0.6664886474609375","0.6664886474609375"
"456","25534","25534","25534","0.953125","0.953125","0.953125"
"457","25590","25590","25590","0.90283203125","0.90283203125","0.90283203125"
"458","25646","25646","25646","0.859375","0.859375","0.859375"
"459","25702","25702","25702","0.6937408447265625","0.6937408447265625","0.6937408447265625"
"460","25758","25758","25758","0.7091064453125","0.7091064453125","0.7091064453125"
"461","25814","25814","25814","0.6221694946289062","0.6221694946289062","0.6221694946289062"
"462","25870","25870","25870","0.7347183227539062","0.7347183227539062","0.7347183227539062"
"463","25926","25926","25926","0.9049224853515625","0.9049224853515625","0.9049224853515625"
"464","25982","25982","25982","0.7423934936523438","0.7423934936523438","0.7423934936523438"
"465","26038","26038","26038","0.8384323120117188","0.8384323120117188","0.8384323120117188"
"466","26094","26094","26094","0.87847900390625","0.87847900390625","0.87847900390625"
"467","26150","26150","26150","0.8203125","0.8203125","0.8203125"
"468","26206","26206","26206","0.8671875","0.8671875","0.8671875"
"469","26262","26262","26262","0.81646728515625","0.81646728515625","0.81646728515625"
"470","26318","26318","26318","0.859375","0.859375","0.859375"
"471","26374","26374","26374","0.6967086791992188","0.6967086791992188","0.6967086791992188"
"472","26430","26430","26430","0.9453125","0.9453125","0.9453125"
"473","26486","26486","26486","0.7516860961914062","0.7516860961914062","0.7516860961914062"
"474","26542","26542","26542","0.9921875","0.9921875","0.9921875"
"475","26598","26598","26598","0.93597412109375","0.93597412109375","0.93597412109375"
"476","26654","26654","26654","0.9453125","0.9453125","0.9453125"
"477","26710","26710","26710","0.8020782470703125","0.8020782470703125","0.8020782470703125"
"478","26766","26766","26766","0.8984375","0.8984375","0.8984375"
"479","26822","26822","26822","0.6307144165039062","0.6307144165039062","0.6307144165039062"
"480","26878","26878","26878","0.8822784423828125","0.8822784423828125","0.8822784423828125"
"481","26934","26934","26934","0.7603988647460938","0.7603988647460938","0.7603988647460938"
"482","26990","26990","26990","0.8661041259765625","0.8661041259765625","0.8661041259765625"
"483","27046","27046","27046","0.8081436157226562","0.8081436157226562","0.8081436157226562"
"484","27102","27102","27102","0.7366790771484375","0.7366790771484375","0.7366790771484375"
"485","27158","27158","27158","0.8845443725585938","0.8845443725585938","0.8845443725585938"
"486","27214","27214","27214","0.7421875","0.7421875","0.7421875"
"487","27270","27270","27270","0.5185546875","0.5185546875","0.5185546875"
"488","27326","27326","27326","0.9035720825195312","0.9035720825195312","0.9035720825195312"
"489","27382","27382","27382","1","1","1"
"490","27438","27438","27438","0.9595489501953125","0.9595489501953125","0.9595489501953125"
"491","27494","27494","27494","0.6544570922851562","0.6544570922851562","0.6544570922851562"
"492","27550","27550","27550","0.7795486450195312","0.7795486450195312","0.7795486450195312"
"493","27606","27606","27606","0.8025054931640625","0.8025054931640625","0.8025054931640625"
"494","27662","27662","27662","0.9075088500976562","0.9075088500976562","0.9075088500976562"
"495","27718","27718","27718","0.7069015502929688","0.7069015502929688","0.7069015502929688"
"496","27774","27774","27774","0.85919189453125","0.85919189453125","0.85919189453125"
"497","27830","27830","27830","0.7682113647460938","0.7682113647460938","0.7682113647460938"
"498","27886","27886","27886","0.9595260620117188","0.9595260620117188","0.9595260620117188"
"499","27942","27942","27942","0.7278213500976562","0.7278213500976562","0.7278213500976562"
"500","27998","27998","27998","0.796875","0.796875","0.796875"
"501","28054","28054","28054","0.9375","0.9375","0.9375"
"502","28110","28110","28110","0.8365402221679688","0.8365402221679688","0.8365402221679688"
"503","28166","28166","28166","0.6697006225585938","0.6697006225585938","0.6697006225585938"
"504","28222","28222","28222","0.6796875","0.6796875","0.6796875"
"505","28278","28278","28278","0.7644882202148438","0.7644882202148438","0.7644882202148438"
"506","28334","28334","28334","0.828125","0.828125","0.828125"
"507","28390","28390","28390","0.8359375","0.8359375","0.8359375"
"508","28446","28446","28446","0.71875","0.71875","0.71875"
"509","28502","28502","28502","0.94622802734375","0.94622802734375","0.94622802734375"
"510","28558","28558","28558","0.9140625","0.9140625","0.9140625"
"511","28614","28614","28614","0.796875","0.796875","0.796875"
"512","28670","28670","28670","0.78125","0.78125","0.78125"
"513","28726","28726","28726","0.8281021118164062","0.8281021118164062","0.8281021118164062"
"514","28782","28782","28782","0.8125","0.8125","0.8125"
"515","28838","28838","28838","0.7129135131835938","0.7129135131835938","0.7129135131835938"
"516","28894","28894","28894","1","1","1"
"517","28950","28950","28950","0.7703857421875","0.7703857421875","0.7703857421875"
"518","29006","29006","29006","0.9374542236328125","0.9374542236328125","0.9374542236328125"
"519","29062","29062","29062","0.6328125","0.6328125","0.6328125"
"520","29118","29118","29118","0.8276748657226562","0.8276748657226562","0.8276748657226562"
"521","29174","29174","29174","0.806488037109375","0.806488037109375","0.806488037109375"
"522","29230","29230","29230","0.9009857177734375","0.9009857177734375","0.9009857177734375"
"523","29286","29286","29286","0.7578125","0.7578125","0.7578125"
"524","29342","29342","29342","0.921875","0.921875","0.921875"
"525","29398","29398","29398","0.732666015625","0.732666015625","0.732666015625"
"526","29454","29454","29454","0.7412033081054688","0.7412033081054688","0.7412033081054688"
"527","29510","29510","29510","0.6504592895507812","0.6504592895507812","0.6504592895507812"
"528","29566","29566","29566","0.7873611450195312","0.7873611450195312","0.7873611450195312"
"529","29622","29622","29622","0.8984375","0.8984375","0.8984375"
"530","29678","29678","29678","0.7479019165039062","0.7479019165039062","0.7479019165039062"
"531","29734","29734","29734","0.8203125","0.8203125","0.8203125"
"532","29790","29790","29790","0.9609375","0.9609375","0.9609375"
"533","29846","29846","29846","0.7406158447265625","0.7406158447265625","0.7406158447265625"
"534","29902","29902","29902","0.8109130859375","0.8109130859375","0.8109130859375"
"535","29958","29958","29958","0.9523773193359375","0.9523773193359375","0.9523773193359375"
"536","30014","30014","30014","0.953125","0.953125","0.953125"
"537","30070","30070","30070","0.71875","0.71875","0.71875"
"538","30126","30126","30126","0.8346328735351562","0.8346328735351562","0.8346328735351562"
"539","30182","30182","30182","0.9127578735351562","0.9127578735351562","0.9127578735351562"
"540","30238","30238","30238","0.84375","0.84375","0.84375"
"541","30294","30294","30294","0.8671875","0.8671875","0.8671875"
"542","30350","30350","30350","0.5511627197265625","0.5511627197265625","0.5511627197265625"
"543","30406","30406","30406","0.8628311157226562","0.8628311157226562","0.8628311157226562"
"544","30462","30462","30462","0.9029083251953125","0.9029083251953125","0.9029083251953125"
"545","30518","30518","30518","0.734375","0.734375","0.734375"
"546","30574","30574","30574","0.9479217529296875","0.9479217529296875","0.9479217529296875"
"547","30630","30630","30630","0.9375","0.9375","0.9375"
"548","30686","30686","30686","0.90625","0.90625","0.90625"
"549","30742","30742","30742","0.894012451171875","0.894012451171875","0.894012451171875"
"550","30798","30798","30798","0.8359375","0.8359375","0.8359375"
"551","30854","30854","30854","0.90625","0.90625","0.90625"
"552","30910","30910","30910","0.677581787109375","0.677581787109375","0.677581787109375"
"553","30966","30966","30966","0.9854202270507812","0.9854202270507812","0.9854202270507812"
"554","31022","31022","31022","0.8630218505859375","0.8630218505859375","0.8630218505859375"
"555","31078","31078","31078","0.9453125","0.9453125","0.9453125"
"556","31134","31134","31134","0.953125","0.953125","0.953125"
"557","31190","31190","31190","0.516876220703125","0.516876220703125","0.516876220703125"
"558","31246","31246","31246","0.953125","0.953125","0.953125"
"559","31302","31302","31302","0.8652725219726562","0.8652725219726562","0.8652725219726562"
"560","31358","31358","31358","0.8635177612304688","0.8635177612304688","0.8635177612304688"
"561","31414","31414","31414","0.929473876953125","0.929473876953125","0.929473876953125"
"562","31470","31470","31470","0.83349609375","0.83349609375","0.83349609375"
"563","31526","31526","31526","0.8359375","0.8359375","0.8359375"
"564","31582","31582","31582","0.8816909790039062","0.8816909790039062","0.8816909790039062"
"565","31638","31638","31638","0.6555023193359375","0.6555023193359375","0.6555023193359375"
"566","31694","31694","31694","0.7809600830078125","0.7809600830078125","0.7809600830078125"
"567","31750","31750","31750","0.8923416137695312","0.8923416137695312","0.8923416137695312"
"568","31806","31806","31806","0.828125","0.828125","0.828125"
"569","31862","31862","31862","0.9088211059570312","0.9088211059570312","0.9088211059570312"
"570","31918","31918","31918","0.9133682250976562","0.9133682250976562","0.9133682250976562"
"571","31974","31974","31974","0.683624267578125","0.683624267578125","0.683624267578125"
"572","32030","32030","32030","0.9130096435546875","0.9130096435546875","0.9130096435546875"
"573","32086","32086","32086","0.9921875","0.9921875","0.9921875"
"574","32142","32142","32142","0.859375","0.859375","0.859375"
"575","32198","32198","32198","0.8551483154296875","0.8551483154296875","0.8551483154296875"
"576","32254","32254","32254","0.6975173950195312","0.6975173950195312","0.6975173950195312"
"577","32310","32310","32310","0.859375","0.859375","0.859375"
"578","32366","32366","32366","0.7851486206054688","0.7851486206054688","0.7851486206054688"
"579","32422","32422","32422","0.8516082763671875","0.8516082763671875","0.8516082763671875"
"580","32478","32478","32478","0.7320175170898438","0.7320175170898438","0.7320175170898438"
"581","32534","32534","32534","0.8627243041992188","0.8627243041992188","0.8627243041992188"
"582","32590","32590","32590","0.9765625","0.9765625","0.9765625"
"583","32646","32646","32646","0.9296875","0.9296875","0.9296875"
"584","32702","32702","32702","0.5625534057617188","0.5625534057617188","0.5625534057617188"
"585","32758","32758","32758","0.8264236450195312","0.8264236450195312","0.8264236450195312"
"586","32814","32814","32814","0.6696090698242188","0.6696090698242188","0.6696090698242188"
"587","32870","32870","32870","0.8083572387695312","0.8083572387695312","0.8083572387695312"
"588","32926","32926","32926","0.6475067138671875","0.6475067138671875","0.6475067138671875"
"589","32982","32982","32982","0.9178924560546875","0.9178924560546875","0.9178924560546875"
"590","33038","33038","33038","0.7386550903320312","0.7386550903320312","0.7386550903320312"
"591","33094","33094","33094","0.7620010375976562","0.7620010375976562","0.7620010375976562"
"592","33150","33150","33150","0.84375","0.84375","0.84375"
"593","33206","33206","33206","0.6798019409179688","0.6798019409179688","0.6798019409179688"
"594","33262","33262","33262","0.9765625","0.9765625","0.9765625"
"595","33318","33318","33318","0.8359375","0.8359375","0.8359375"
"596","33374","33374","33374","0.9765625","0.9765625","0.9765625"
"597","33430","33430","33430","0.8125","0.8125","0.8125"
"598","33486","33486","33486","0.8966217041015625","0.8966217041015625","0.8966217041015625"
"599","33542","33542","33542","0.9343414306640625","0.9343414306640625","0.9343414306640625"
"600","33598","33598","33598","0.8227462768554688","0.8227462768554688","0.8227462768554688"
"601","33654","33654","33654","0.8156967163085938","0.8156967163085938","0.8156967163085938"
"602","33710","33710","33710","0.96875","0.96875","0.96875"
"603","33766","33766","33766","0.8672637939453125","0.8672637939453125","0.8672637939453125"
"604","33822","33822","33822","0.72137451171875","0.72137451171875","0.72137451171875"
"605","33878","33878","33878","0.70947265625","0.70947265625","0.70947265625"
"606","33934","33934","33934","0.9391403198242188","0.9391403198242188","0.9391403198242188"
"607","33990","33990","33990","0.5987777709960938","0.5987777709960938","0.5987777709960938"
"608","34046","34046","34046","0.9140625","0.9140625","0.9140625"
"609","34102","34102","34102","0.7882156372070312","0.7882156372070312","0.7882156372070312"
"610","34158","34158","34158","0.6753692626953125","0.6753692626953125","0.6753692626953125"
"611","34214","34214","34214","0.7913055419921875","0.7913055419921875","0.7913055419921875"
"612","34270","34270","34270","0.6690902709960938","0.6690902709960938","0.6690902709960938"
"613","34326","34326","34326","0.8671875","0.8671875","0.8671875"
"614","34382","34382","34382","0.7412948608398438","0.7412948608398438","0.7412948608398438"
"615","34438","34438","34438","0.96875","0.96875","0.96875"
"616","34494","34494","34494","0.8703994750976562","0.8703994750976562","0.8703994750976562"
"617","34550","34550","34550","0.7025375366210938","0.7025375366210938","0.7025375366210938"
"618","34606","34606","34606","0.9164199829101562","0.9164199829101562","0.9164199829101562"
"619","34662","34662","34662","0.9122238159179688","0.9122238159179688","0.9122238159179688"
"620","34718","34718","34718","0.8149871826171875","0.8149871826171875","0.8149871826171875"
"621","34774","34774","34774","0.7635650634765625","0.7635650634765625","0.7635650634765625"
"622","34830","34830","34830","0.6205062866210938","0.6205062866210938","0.6205062866210938"
"623","34886","34886","34886","0.5923385620117188","0.5923385620117188","0.5923385620117188"