Epoch,Reasoning mode,AIME25,GPQA-D,LiveCodeBench v4,IFEval,Global MMLU Lite
1.00E+00,/think,11.98,28.72,11.88,70.5,53.6
1.00E+00,/no_think,1.35,26.77,8.91,67.17,45.1
2.00E+00,/think,12.92,31.25,8.91,73.86,60.95
2.00E+00,/no_think,1.67,28.72,7.92,67.77,51
3.00E+00,/think,14.32,32.89,18.81,74.67,62.05
3.00E+00,/no_think,2.5,29.48,11.88,71.18,50.75
4.00E+00,/think,15.94,30.62,15.84,74.51,62.45
4.00E+00,/no_think,1.87,29.1,8.91,73.45,50.95
5.00E+00,/think,14.79,31.94,16.83,77.98,63.6
5.00E+00,/no_think,1.15,31.57,9.9,70.72,51.85