Batch size,Reasoning mode,AIME25,GPQA-D,LiveCodeBench v4,IFEval,Global MMLU Lite
8,/think,13.23,29.55,8.91,69.75,57.3
8,/no_think,1.93,26.64,8.91,65.97,44.3
16,/think,13.33,27.84,8.91,68.9,55.45
16,/no_think,1.61,27.4,10.89,67.84,44.75
32,/think,13.28,28.98,13.86,64.83,54.9
32,/no_think,2.08,26.01,10.89,65.29,44.15
64,/think,12.19,28.85,6.93,61.73,54.55
64,/no_think,1.51,23.74,10.89,59.22,40.8
128,/think,12.92,28.54,6.93,59.94,57.7
128,/no_think,1.3,24.18,8.91,57.14,37
N/A,/think,12.6,28.16,9.9,71.64,55.6
N/A,/no_think,2.03,26.89,7.92,69.62,43.55